Name,Team,Position,GP,MPG,FT%,2P%,3P%,TS%,PPG,RPG,APG,SPG,BPG,TOV,ORTG,DRTG
Tim Hardaway Jr.,DEN,G-F,50,27.2,0.886,0.529,0.403,0.62,13.8,2.6,1.4,0.5,0.2,0.5,124.5,118.5
Bruce Brown,DEN,G-F,51,24.5,0.779,0.506,0.338,0.543,7.5,4,2.2,1,0.3,1,114.2,110.2
Peyton Watson,DEN,G,48,30.6,0.73,0.539,0.425,0.605,15,4.9,2,1,1.2,1.8,113.6,112.2
Jonas Valanciunas,DEN,C,39,14.7,0.785,0.595,0.294,0.622,9.2,5.3,1.3,0.2,0.7,1.2,121.6,101.6
Spencer Jones,DEN,F,45,23.9,0.622,0.646,0.421,0.644,6.1,3.1,0.8,0.9,0.4,0.6,128.4,109.3
N'Faly Dante,ATL,C,4,3.9,1,0.25,0,0.338,0.8,1.8,0,0.5,0,0.3,0,0
Vit Krejci,ATL,G,46,22.3,0.75,0.6,0.423,0.637,9,2.1,1.5,0.8,0.3,0.7,120.5,110.9
Asa Newell,ATL,F,35,11.1,0.591,0.657,0.419,0.646,5.2,2.1,0.5,0.4,0.3,0.5,120.5,105.8
Jett Howard,ORL,G,30,10.8,0.944,0.458,0.35,0.533,4.8,1.4,0.8,0.1,0.1,0.2,115.5,112.4
Baylor Scheierman,BOS,G,45,13.6,0.8,0.531,0.407,0.6,3.3,2.3,0.8,0.6,0.1,0.4,123.5,106.3
Hugo Gonzalez,BOS,G,45,15.4,0.476,0.588,0.352,0.559,4,3.4,0.6,0.6,0.3,0.6,113.4,103.3
Jordan Walsh,BOS,G,45,18.4,0.762,0.63,0.388,0.632,5.6,4.3,0.8,0.8,0.5,0.5,134.3,102.9
Amari Williams,BOS,F-C,13,8.2,0.667,0.467,0,0.542,1.7,2.1,0.5,0.2,0.7,0.5,107.1,101.7
Josh Hart,NYK,G,39,30.6,0.737,0.581,0.405,0.614,12.3,7.6,5.1,1.2,0.3,2.1,123.9,106.2
Chaz Lanier,DET,G,18,9,1,0.444,0.333,0.517,3.1,0.9,0.7,0.3,0,0.1,121.6,114
Daniss Jenkins,DET,G,41,16.8,0.797,0.444,0.385,0.536,7.9,1.8,3.3,0.9,0.2,1.3,112.5,107.3
Keshad Johnson,MIA,F,21,7.6,0.765,0.471,0.304,0.512,3.1,1.9,0.1,0.2,0.2,0.4,103.3,106.2
Jahmir Young,MIA,G,7,5.1,1,0.444,0.333,0.486,2.1,0.4,0.9,0.1,0,0.3,104.6,108.1
PJ Hall,MEM,C,7,3.8,0.667,0.667,0.333,0.63,1.9,1.3,0.3,0,0.3,0.1,0,0
GG Jackson,MEM,F,28,17.1,0.725,0.635,0.268,0.557,8.1,3.3,1,0.6,0.6,1,105.9,107.9
Jose Alvarado,NOR,G,40,22,0.833,0.54,0.356,0.552,7.9,2.7,3.2,0.9,0.1,1.2,111.9,114.2
Rob Dillingham,MIN,G,35,9.3,0.75,0.324,0.364,0.404,3.5,1.2,1.7,0.5,0.1,1,84.8,104.8
Joan Beringer,MIN,F,24,7,0.6,0.667,0,0.668,3.1,2.1,0.3,0.1,0.4,0.3,139.1,101.6
Joe Ingles,MIN,F-G,16,4.2,1,0.5,0.4,0.635,0.6,0.3,0.8,0.4,0,0.4,105.1,105.8
Leonard Miller,MIN,F,19,5,0.636,0.81,0.083,0.581,2.3,1.3,0.3,0.2,0,0.5,104.1,101.7
Johnny Juzang,MIN,G,19,4,0.625,0.769,0.227,0.519,2.1,0.8,0.3,0.1,0,0.2,108.4,113.2
Dalton Knecht,LAL,F,40,11.7,0.722,0.631,0.313,0.548,4.6,1.5,0.4,0.2,0.2,0.4,106.3,113.7
Bronny James,LAL,G,27,6.8,0.8,0.4,0.375,0.498,1.9,0.4,1.1,0.4,0,0.4,104.5,114.1
Christian Koloko,LAL,C,2,3.2,0,0,0,0,0,0.5,0,0,0,0,0,0
Moses Moody,GOL,G,49,24.5,0.759,0.49,0.407,0.592,11.2,3.2,1.4,0.9,0.6,0.9,116.8,110.8
Trayce Jackson-Davis,GOL,F,36,11.4,0.558,0.584,1,0.601,4.2,3.1,0.9,0.4,0.5,0.5,127.3,106.9
Pat Spencer,GOL,G,35,13.9,0.821,0.422,0.4,0.51,5.3,2.1,2.9,0.6,0.1,1,111.5,111.2
Rayan Rupert,POR,G-F,43,12.2,0.643,0.42,0.27,0.427,2.7,1.8,0.7,0.7,0,0.5,94.5,109.5
Duop Reath,POR,C,32,8.1,0.833,0.526,0.418,0.613,2.9,1.2,0.3,0.2,0.3,0.2,124.8,110.3
Isaac Jones,SAC,F,3,5.6,0.5,1,0,0.521,1,0.7,0.3,0,0,0,146.5,104.6
Domantas Sabonis,SAC,F-C,18,30,0.712,0.597,0.185,0.589,15.4,11.2,4.2,0.9,0.2,2.8,115.1,107.6
Rasheer Fleming,PHO,F,29,6.5,0.727,0.5,0.214,0.427,2.4,1.3,0.2,0.2,0.2,0.2,98.9,107.7
