Name,Team,Position,GP,MPG,FT%,2P%,3P%,TS%,PPG,RPG,APG,SPG,BPG,TOV,ORTG,DRTG
Emanuel Miller,CHI,F,5,6.6,0.5,0.571,0.333,0.54,3,0.6,0.8,0.4,0,0,123.7,115.6
Curtis Jones,DEN,G,6,5.1,0,0.6,0.111,0.321,1.5,0.8,0.5,0,0,0.2,78.9,112.4
Chucky Hepburn,TOR,G,2,6.6,0,0,0,0,0,0.5,1,0.5,0,0.5,19.3,100.2
Trey Alexander,NOR,G,5,8.3,0,0.667,0.667,0.778,2.8,0.8,1,0.2,0.2,0.2,148.2,114.9
Kasparas Jakucionis,MIA,G,26,15.8,0.87,0.237,0.393,0.504,4.2,2.3,2.3,0.7,0,0.9,110.1,104.9
Ethan Thompson,IND,G,21,15.5,0.688,0.517,0.3,0.495,4.5,1.7,1.4,0.5,0.3,0.6,104.8,110
Seth Curry,GOL,G,2,16.1,0,0.8,0.5,0.778,7,2,1.5,1,0,0,164,107.8
Trentyn Flowers,CHI,F,2,2.8,0,1,0,0.667,2,0.5,0.5,0,0,0.5,0,0
De'Anthony Melton,GOL,G,24,21.3,0.81,0.548,0.287,0.536,11.6,2.9,2.3,1.5,0.5,1.6,104.3,105
Zach Collins,CHI,F-C,10,18.4,0.7,0.651,0.429,0.666,9.7,5.6,1.5,0.2,0.4,1,128.3,110
Marcus Sasser,DET,G,14,10,0.909,0.571,0.41,0.632,5.9,0.9,1.9,0.7,0.1,0.6,129.6,104.9
A.J. Lawson,TOR,G,11,9.7,1,0.421,0.364,0.545,4.5,2,0.3,0.4,0.3,0.4,112.2,101.3
Alijah Martin,TOR,G,10,8.8,0.833,0.467,0.182,0.48,3,1.2,0.8,0.5,0.3,0.3,111.7,107
Kevin McCullar Jr.,NYK,G,12,7.3,0.4,0.444,0.429,0.556,2.3,1.7,1.3,0.3,0,0.7,113,99.2
Josh Green,CHA,G,27,15.7,0.818,0.52,0.394,0.59,4.2,2,1,0.5,0.1,0.6,121.1,113.3
Brandon Clarke,MEM,F,2,10.2,0.5,0.333,0,0.372,4,3,0.5,1,0,0,105.2,89.9
RayJ Dennis,LAC,G,1,3.5,0,0,0,0,0,2,0,0,0,1,0,0
Vladislav Goldin,MIA,C,2,4.2,0,1,0,1,2,0.5,1,0,0.5,0,208.1,81.5
Christian Koloko,MEM,C,11,17.7,0.25,0.412,0,0.394,2.6,4,0.9,0.9,1.2,0.6,99.6,106.9
Kam Jones,IND,G,14,8.8,0.5,0.478,0.214,0.426,2.4,1.1,1.4,0.2,0,0.3,102.2,119
Dorian Finney-Smith,HOU,F,17,15.5,1,0.5,0.256,0.437,2.9,2.5,0.6,0.4,0.2,0.5,102.2,107.5
Micah Potter,IND,C,18,17.2,0.906,0.571,0.357,0.617,6.7,3.8,1.4,0.4,0.3,0.7,123,110.7
PJ Hall,CHA,C,8,15.9,0.706,0.576,1,0.659,7,5.4,0.6,0.1,0.9,1.3,124.3,107.8
Mo Bamba,TOR,C,2,3,0,0,0,0,0,1,0,0,0.5,0,0,0
Oscar Tshiebwe,UTA,F-C,1,14.8,0,0.25,0,0.225,2,6,1,1,0,0,88.1,106.2
Grant Williams,CHA,F,10,17.7,0.769,0.6,0.263,0.494,5.8,4,1.1,0.5,0.2,0.6,111,110.7
Moritz Wagner,ORL,F-C,9,10.3,0.929,0.444,0.455,0.607,7.4,2.4,0.3,0.4,0,0.7,114.5,100.7
CJ McCollum,ATL,G,12,27.5,0.645,0.536,0.373,0.558,18.7,3.5,3.3,0.8,0.5,1.8,106.9,115.5
Corey Kispert,ATL,F,12,20.2,0.842,0.548,0.345,0.565,9.9,2.2,1.7,0.5,0.1,0.8,110.8,119.1
Kobe Bufkin,LAL,G,4,11.3,1,0.5,0.286,0.505,3,1.3,0.5,0.3,0.8,0.3,108.9,115.3
Jeremiah Robinson-Earl,DAL,F,5,12.2,1,0.667,0.25,0.586,4.4,3,0.6,0.4,0,0.4,121.8,110.9
TyTy Washington Jr.,LAC,G,2,11,0,0.8,0.5,0.778,7,0.5,1.5,1,0.5,0,161.3,120.6
RayJ Dennis,ATL,G,1,4.9,0,0,0,0,0,0,4,1,0,0,134.3,93
Malevy Leons,GOL,F,5,4.2,1,0.5,0,0.436,1.2,1.8,0.2,0.2,0,0.4,89,106
LJ Cryer,GOL,G,3,2.6,0,0,0.5,0.6,2,0.3,0,0,0,0,0,0
Patrick Baldwin Jr.,LAC,F,2,6.1,1,1,0.667,1.025,5,0.5,0,0,0,0.5,150.6,106
Christian Koloko,ATL,C,7,15.1,1,0.524,0.25,0.522,3.9,3,0.6,0.3,1,0.7,103.2,99.6
Skal Labissiere,WAS,F-C,3,12.5,0,1,0.2,0.65,4.3,3,1,0.7,0.3,0.3,135.4,115.2
Dillon Jones,NYK,F,3,4.8,0,0,0.5,0.5,1,1,0.3,0.3,0,0,136.8,100.2
Isaiah Stevens,SAC,G,2,11.3,1,0,0,0.532,2,1,3,1.5,0,0,164.6,117.2
Yuki Kawamura,CHI,G,3,21.3,1,0.5,0.273,0.543,5.7,4.7,5,1.3,0,0.3,142.8,111.7
Ty Jerome,MEM,G-F,2,20,0.846,0.8,0.333,0.703,19.5,3.5,7,1,0,2.5,137.3,104.8
Stanley Umude,SAN,G,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0
Tristan Enaruna,CLE,F,1,2.6,0,1,0,1,2,2,1,0,0,0,0,0
Vit Krejci,POR,G,1,13.6,0,1,0.167,0.357,5,0,1,2,0,0,89.4,110.9
